"","hhidpn","wave","tot_finw","income","age","female","hi_school","college","married","if_child","empl","selfempl","socladder"
"31089",500271010,14,172123.58,140543.515413587,66.999998,1,0,1,0,1,0,0,8
"7869",40260020,15,2000,48000.0059221931,81.999998,1,1,0,0,1,1,0,7
"28674",211511020,8,67655.453,279161.840625655,78.000002,0,1,0,1,1,0,0,6
"215",11230010,10,1.1869016,49280.1612700563,75,1,0,0,0,1,0,0,2
"28615",211425010,14,1.0306802,42051.7396855209,88.999996,1,1,0,0,1,0,0,7
"20434",122131020,12,17.491957,65857.2241730052,55,1,0,0,0,1,0,0,1
"9687",45786010,13,6470.0596,118876.522423063,76.999998,0,1,0,1,1,0,0,6
"17686",82989040,9,1.202078,166266.632657296,65,0,1,0,1,1,1,0,8
"24718",185986010,8,1.2837847,80878.4019351556,59.000001,1,1,0,1,1,1,0,7
"6031",34470010,10,1.1869016,72752.2880705798,70,0,1,0,0,1,0,1,8
"30543",500053010,11,33817.652,67522.5789103833,63.000002,1,1,0,1,1,1,0,8
"6436",35926010,10,1.1869016,26833.459093724,73.000002,1,1,0,0,1,0,1,2
"18429",85319010,9,36062.34,150019.268287776,71.999998,0,1,0,1,1,0,0,8
"25850",202941010,12,415434,77751.7427916685,93.000002,1,1,0,0,1,0,0,7
"17846",83592020,12,1.0932473,34056.8425471925,76.999998,1,0,0,0,1,0,0,3
"29594",212635010,8,7702.7085,52748.1690036598,79.000001,0,0,0,0,1,0,0,4
"22586",149395020,8,468581.44,678865.182330081,58.000002,1,0,1,1,1,1,0,8
"4660",24684011,12,1093.2473,14430.8650160303,60,1,1,0,0,1,0,0,4
"33405",501163010,11,1.1272551,37650.3139890541,60,0,0,0,1,1,1,0,7
"19413",110498010,8,12837.848,195135.210176961,59.000001,0,1,0,1,1,1,0,7
"15572",75765020,13,253410.66,82989.1874569344,78.000002,1,1,0,1,1,0,0,6
"26007",203335010,9,1.202078,23079.9059057035,85,1,1,0,0,1,0,0,3
"25975",203275010,10,253996.92,212111.994464466,86.999998,0,1,0,1,1,0,1,7
"13523",58501010,11,1.1272551,93626.9863356354,75,1,0,1,1,1,0,0,6
"25832",202907020,10,2373.803,51815.3671365258,66.999998,1,0,0,1,1,0,0,8
"19646",113957020,8,3851.3542,159024.916642482,56.999998,1,1,0,1,1,0,1,6
"11821",51558010,9,2404.156,40389.8089708255,69.000001,1,1,0,0,1,0,0,6
"29715",212732020,10,830831.06,86036.0888707443,83.999996,0,1,0,1,1,0,0,5
"31706",500501010,13,1.0783433,37940.4345657207,59.000001,1,0,0,0,1,0,0,6
"4527",24109010,13,521918.13,267515.297265963,78.000002,0,0,1,1,1,0,0,8
"8332",41380010,12,1.0932473,219480.332515975,83.000002,0,0,1,1,1,1,0,5
"41602",533574020,13,1.0783433,155126.150993583,70,0,0,0,1,1,1,0,6
"19093",87465010,9,28849.871,49044.7990464088,75,1,1,0,0,1,0,0,3
"29391",212417010,8,1797.2986,71789.2444061485,79.000001,1,1,0,1,1,0,0,6
"10154",47458011,13,8091.8877,20445.3819375127,78.000002,1,1,0,1,1,0,0,8
"20940",132758010,8,863987.13,470111.515280467,60,1,0,1,1,1,1,0,9
"7109",38047040,14,20613.604,189719.366150742,54.000001,1,0,1,0,1,1,0,8
"32691",500874020,15,1042000,142311.986662652,68.000002,0,1,0,1,1,0,0,9
"21274",136953020,14,1.0306802,39866.7134250775,69.000001,1,1,0,0,1,0,0,5
"1586",15709030,9,247628.06,144933.230313646,81.000004,0,0,1,1,1,0,0,7
"37869",521439010,13,37202.84,420756.69672002,60,0,0,1,1,1,1,0,8
"35415",501932010,13,59308.879,114447.228595527,65,0,1,0,1,1,0,0,6
"12591",54168010,10,1.1869016,94747.6174738583,73.000002,0,0,1,1,1,0,0,6
"34083",501438020,9,90155.852,165405.96151562,58.000002,0,1,0,1,1,1,0,7
"18477",85489020,10,160231.7,262447.684755694,70.999999,0,1,0,1,1,0,0,9
"3776",22049020,10,1.1869016,68365.5056117831,70,1,0,0,1,1,0,0,7
"6834",37132010,9,30.05195,21608.5532195969,70,1,0,0,1,1,0,0,2
"1362",14872020,11,2479.9612,77347.7156040069,76.999998,1,1,0,1,1,0,0,5
"38626",523537010,13,2102.7693,174260.226499581,58.000002,1,0,1,0,0,1,0,9
"11863",51740030,13,23184.379,121481.890943804,65,1,1,0,0,1,1,0,6
"429",12094010,9,480.83121,28128.6265603335,70.999999,0,1,0,0,1,0,0,6
"33244",501100010,14,16903.154,29023.9607011389,65,1,0,1,0,0,0,0,4
"29699",212723010,14,16490.883,38431.9872594817,88.999996,1,0,0,0,1,0,0,2
"44557",912697020,14,8245.4414,298938.494116179,63.000002,0,0,1,1,1,1,0,8
"40573",528753010,10,1.1869016,201713.838603143,54.000001,1,1,0,1,1,1,0,7
"3605",21583010,10,21364.227,105738.631325954,76.999998,0,1,0,1,1,0,0,4
"13323",57341040,13,1.0783433,23990.9752241861,53.000002,1,0,0,0,1,0,0,6
"14801",72274011,8,1.2837847,13993.2514342147,55.999999,1,0,0,0,0,0,0,3
"9926",46633040,12,1.0932473,21864.9569577682,65.999999,1,0,0,0,1,0,1,9
"14818",72350011,11,25701.416,149266.614013928,61.999998,1,1,0,0,1,1,0,7
